"16818176","16818431","TH","Thailand","Surat Thani","Chaiya","9.386240","99.198610","84110","+07:00"
"16818432","16818687","TH","Thailand","Surat Thani","Wiang Sa","8.575650","99.381560","84190","+07:00"
"16818688","16818943","TH","Thailand","Chumphon","Chumphon","10.500000","99.166670","86140","+07:00"
"16818944","16819199","TH","Thailand","Surat Thani","Surat Thani","9.140110","99.333110","84150","+07:00"
"16819200","16819455","TH","Thailand","Phatthalung","Khuan Khanun","7.734700","100.009310","93110","+07:00"
"16819456","16819711","TH","Thailand","Chiang Mai","San Pa Tong","18.628280","98.895720","50120","+07:00"
"16819712","16819967","TH","Thailand","Trang","Kantang","7.405420","99.515610","92110","+07:00"
"16819968","16820223","TH","Thailand","Surat Thani","Ko Pha Ngan","9.719450","99.995110","84280","+07:00"
"16820224","16820479","TH","Thailand","Surat Thani","Tha Chana","9.572030","99.165860","84170","+07:00"
"16820480","16820735","TH","Thailand","Kanchanaburi","Si Sawat","14.599220","99.114060","71250","+07:00"
"16820736","16820991","TH","Thailand","Surat Thani","Ko Samui","9.535670","99.935670","84140","+07:00"
"16820992","16821247","TH","Thailand","Phangnga","Phang Nga","8.450900","98.529850","82130","+07:00"
"16821248","16822015","TH","Thailand","Phatthalung","Phatthalung","7.617860","100.077920","93170","+07:00"
"16822016","16822271","TH","Thailand","Nakhon Si Thammarat","Phra Phrom","8.339110","99.900920","80230","+07:00"
"16822272","16822527","TH","Thailand","Chon Buri","Sattahip","12.666440","100.900730","20180","+07:00"
"16822528","16822783","TH","Thailand","Chanthaburi","Chanthaburi","12.609610","102.104470","22210","+07:00"
